NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
11005,Arrowhead raw,0.0,5.33,99.0,72.48
20003,Arrowroot flour,0.0,0.3,357.0,11.37
11697,Arrowroot raw,0.0,4.24,65.0,80.75
11702,Artichokes (globe or french) cooked boiled drained with salt,0.0,2.89,51.0,84.08
11008,Artichokes (globe or french) cooked boiled drained without salt,0.0,2.89,53.0,84.08
11703,Artichokes (globe or french) frozen cooked boiled drained with salt,0.0,3.11,45.0,86.5
11010,Artichokes (globe or french) frozen cooked boiled drained without salt,0.0,3.11,45.0,86.5
11009,Artichokes (globe or french) frozen unprepared,0.0,2.63,38.0,88.59
11007,Artichokes (globe or french) raw,0.0,3.27,47.0,84.94
11959,Arugula raw,0.0,2.58,25.0,91.71
11015,Asparagus canned drained solids,0.0,2.14,19.0,93.98
11707,Asparagus canned no salt added solids and liquids,0.0,1.8,15.0,94.32
11013,Asparagus canned regular pack solids and liquids,0.0,1.8,15.0,94.32
11012,Asparagus cooked boiled drained,0.0,2.4,22.0,92.63
11705,Asparagus cooked boiled drained with salt,0.0,2.4,22.0,92.63
11709,Asparagus frozen cooked boiled drained with salt,0.0,2.95,18.0,94.1
11019,Asparagus frozen cooked boiled drained without salt,0.0,2.95,18.0,94.1
11018,Asparagus frozen unprepared,0.0,3.23,24.0,91.82
11011,Asparagus raw,0.0,2.2,20.0,93.22
18984,AUSTIN Cheddar Cheese on Cheese Crackers sandwich-type,3.0,7.5,494.0,2.0
18987,AUSTIN Cheddar Cheese on Cheese Crackers sandwich-type reduced fat,3.0,7.8,461.0,2.7
28258,AUSTIN Cheddar Cheese on Wafer Crackers sandwich-type,3.0,7.8,489.0,2.7
18983,AUSTIN Cheddar Cheese on Wheat Crackers sandwich-type,3.0,7.9,495.0,2.7
18985,AUSTIN Chocolatey Peanut Butter Crackers sandwich-type,0.0,7.7,479.0,2.7
18986,AUSTIN Grilled Cheese on Wafer Crackers sandwich-type,3.0,7.9,493.0,2.7
18990,AUSTIN PB &amp J Crackers sandwich-type,0.0,7.6,484.0,2.7
28256,AUSTIN Peanut Butter on Cheese Crackers sandwich-type,0.0,10.8,492.0,2.0
18988,AUSTIN Peanut Butter on Cheese Crackers sandwich-type reduced fat,0.0,9.7,461.0,2.7
28257,AUSTIN Peanut Butter on Toasty Crackers sandwich-type,0.0,10.6,489.0,2.7
18989,AUSTIN Peanut Butter on Toasty Crackers sandwich-type reduced fat,0.0,9.5,463.0,2.7
09037,Avocados raw all commercial varieties,0.0,2.0,160.0,73.23
09038,Avocados raw California,0.0,1.96,167.0,72.33
09039,Avocados raw Florida,0.0,2.23,120.0,78.81
42150,Babyfood apple yogurt dessert strained,6.0,0.8,96.0,77.9
03167,Babyfood apple-banana juice,0.0,0.2,51.0,87.1
03169,Babyfood apple-cranberry juice,--,0.0,46.0,88.3
03289,Babyfood apples with ham strained,8.0,2.6,62.0,85.3
03115,Babyfood apples dices toddler,0.0,0.2,51.0,87.5
03997,Babyfood Baby MUM MUM Rice Biscuits,0.0,12.5,391.0,2.42
42284,Babyfood baked product finger snacks cereal fortified,0.0,6.4,421.0,3.7
43550,Babyfood banana apple dessert strained,0.0,0.3,68.0,83.1
42119,Babyfood banana juice with low fat yogurt,3.0,2.5,89.0,78.5
43546,Babyfood banana no tapioca strained,0.0,1.0,91.0,76.7
03995,Babyfood banana with mixed berries strained,0.0,1.01,92.0,76.68
03301,Babyfood beverage GERBER GRADUATE FRUIT SPLASHERS,--,0.0,31.0,92.5
03290,Babyfood carrots and beef strained,8.0,3.4,59.0,87.3
42316,Babyfood carrots toddler,0.0,0.6,26.0,93.5
03181,Babyfood cereal barley dry fortified,0.0,13.2,376.0,6.8
03681,Babyfood cereal barley prepared with whole milk,10.0,3.73,84.0,82.19
42285,Babyfood cereal brown rice dry instant,0.0,8.7,406.0,1.0
03201,Babyfood cereal egg yolks and bacon junior,94.0,2.5,79.0,85.9
03211,Babyfood cereal high protein with apple and orange dry,0.0,25.4,374.0,5.3
03185,Babyfood cereal mixed dry fortified,0.0,12.2,379.0,6.7
03685,Babyfood cereal mixed prepared with whole milk,9.0,4.14,96.0,79.21
03188,Babyfood cereal mixed with applesauce and bananas junior,0.0,1.2,83.0,79.6
03187,Babyfood cereal mixed with applesauce and bananas strained,0.0,1.2,82.0,80.0
03186,Babyfood cereal mixed with bananas dry,0.0,10.7,391.0,4.5
03686,Babyfood cereal mixed with bananas prepared with whole milk,10.0,3.82,86.0,81.81
03189,Babyfood cereal oatmeal dry fortified,0.0,10.99,394.0,4.56
03689,Babyfood cereal oatmeal prepared with whole milk,11.0,5.0,116.0,74.5
03192,Babyfood cereal oatmeal with applesauce and bananas junior,0.0,1.3,75.0,81.8
03191,Babyfood cereal oatmeal with applesauce and bananas strained,0.0,1.3,74.0,82.2
03190,Babyfood cereal oatmeal with bananas dry,0.0,12.0,393.0,4.7
03690,Babyfood cereal oatmeal with bananas prepared with whole milk,10.0,3.82,86.0,81.81
43544,Babyfood cereal rice with pears and apple dry instant fortified,0.0,6.6,389.0,2.0
03194,Babyfood cereal rice dry fortified,0.0,6.65,390.0,5.13
03694,Babyfood cereal rice prepared with whole milk,10.0,3.45,85.0,81.96
03195,Babyfood cereal rice with applesauce and bananas strained,0.0,1.2,80.0,81.0
03212,Babyfood cereal rice with bananas dry,0.0,8.7,404.0,4.7
03712,Babyfood cereal rice with bananas prepared with whole milk,10.0,3.57,86.0,81.81
03184,Babyfood cereal whole wheat with apples dry fortified,0.0,12.6,402.0,1.7
