NDO_No,Shrt_Desc,Cholestrl_(mg),Protein_(g),Energ_Kcal,Water_(g)
18193,Cookies shortbread commercially prepared pecan,33.0,4.9,542.0,3.3
18192,Cookies shortbread commercially prepared plain,0.0,5.37,514.0,3.6
28310,Cookies shortbread reduced fat,0.0,5.37,451.0,3.6
28311,Cookies sugar wafer chocolate-covered,0.0,3.45,526.0,1.73
18202,Cookies sugar wafer with creme filling sugar free,0.0,3.57,531.0,0.7
18209,Cookies sugar wafers with creme filling regular,0.0,3.84,502.0,1.66
18204,Cookies sugar commercially prepared regular (includes vanilla),12.0,5.35,464.0,6.29
18208,Cookies sugar prepared from recipe made with margarine,26.0,5.9,472.0,8.9
18205,Cookies sugar refrigerated dough,11.0,4.0,436.0,14.08
18206,Cookies sugar refrigerated dough baked,32.0,4.7,489.0,5.0
18210,Cookies vanilla sandwich with creme filling,0.0,4.5,483.0,2.2
28352,Cookies vanilla sandwich with creme filling reduced fat,0.0,4.17,423.0,6.25
18213,Cookies vanilla wafers higher fat,9.0,4.9,455.0,4.98
18212,Cookies vanilla wafers lower fat,51.0,5.0,441.0,5.1
11165,Coriander (cilantro) leaves raw,0.0,2.13,23.0,92.21
20015,Corn bran crude,0.0,8.36,224.0,4.71
22973,Corn dogs frozen prepared,44.0,8.57,250.0,50.32
20017,Corn flour masa enriched white,0.0,8.46,363.0,9.79
20019,Corn flour masa unenriched white,0.0,8.46,363.0,9.79
20316,Corn flour whole-grain white,0.0,6.93,361.0,10.91
20016,Corn flour whole-grain yellow,0.0,6.93,361.0,10.91
20018,Corn flour yellow degermed unenriched,0.0,5.59,375.0,9.81
20317,Corn flour yellow masa enriched,0.0,8.46,363.0,9.79
20314,Corn grain white,0.0,9.42,365.0,10.37
20014,Corn grain yellow,0.0,9.42,365.0,10.37
11656,Corn pudding home prepared,72.0,4.42,131.0,72.33
11184,Corn with red and green peppers canned solids and liquids,0.0,2.33,75.0,77.5
11907,Corn sweet white canned cream style no salt added,0.0,1.74,72.0,78.73
11906,Corn sweet white canned cream style regular pack,0.0,1.74,74.0,78.24
11909,Corn sweet white canned vacuum pack no salt added,0.0,2.41,79.0,76.58
11908,Corn sweet white canned vacuum pack regular pack,0.0,2.41,79.0,76.58
11905,Corn sweet white canned whole kernel drained solids,0.0,2.32,71.0,80.38
11904,Corn sweet white canned whole kernel no salt added solids and liquids,0.0,1.95,64.0,81.34
11903,Corn sweet white canned whole kernel regular pack solids and liquids,0.0,1.95,64.0,81.34
11902,Corn sweet white cooked boiled drained with salt,0.0,3.34,97.0,72.84
11901,Corn sweet white cooked boiled drained without salt,0.0,3.34,97.0,72.84
11912,Corn sweet white frozen kernels cut off cob boiled drained with salt,0.0,2.75,80.0,76.73
11911,Corn sweet white frozen kernels cut off cob boiled drained without salt,0.0,2.75,80.0,76.73
11910,Corn sweet white frozen kernels cut off cob unprepared,0.0,3.02,88.0,75.0
11915,Corn sweet white frozen kernels on cob cooked boiled drained with salt,0.0,3.11,94.0,73.2
11914,Corn sweet white frozen kernels on cob cooked boiled drained without salt,0.0,3.11,94.0,73.2
11913,Corn sweet white frozen kernels on cob unprepared,0.0,3.28,98.0,71.79
11900,Corn sweet white raw,0.0,3.22,86.0,75.96
11170,Corn sweet yellow canned brine pack regular pack solids and liquids,0.0,1.95,61.0,82.61
11772,Corn sweet yellow canned cream style no salt added,0.0,1.74,72.0,78.73
11174,Corn sweet yellow canned cream style regular pack,0.0,1.74,72.0,78.73
11177,Corn sweet yellow canned drained solids rinsed with tap water,0.0,2.18,74.0,82.8
11771,Corn sweet yellow canned no salt added solids and liquids,0.0,1.95,61.0,82.61
11773,Corn sweet yellow canned vacuum pack no salt added,0.0,2.41,79.0,76.58
11176,Corn sweet yellow canned vacuum pack regular pack,0.0,2.41,79.0,76.58
11172,Corn sweet yellow canned whole kernel drained solids,0.0,2.29,67.0,81.41
11770,Corn sweet yellow cooked boiled drained with salt,0.0,3.41,96.0,73.41
11168,Corn sweet yellow cooked boiled drained without salt,0.0,3.41,96.0,73.41
11179,Corn sweet yellow frozen kernels cut off cob boiled drained without salt,0.0,2.55,81.0,77.03
11178,Corn sweet yellow frozen kernels cut off cob unprepared,0.0,3.02,88.0,75.0
11775,Corn sweet yellow frozen kernels on cob cooked boiled drained with salt,0.0,3.11,94.0,73.2
11181,Corn sweet yellow frozen kernels on cob cooked boiled drained without salt,0.0,3.11,94.0,73.2
11180,Corn sweet yellow frozen kernels on cob unprepared,0.0,3.28,98.0,71.79
11774,Corn sweet yellow frozen kernels cut off cob boiled drained with salt,0.0,2.55,79.0,77.03
11167,Corn sweet yellow raw,0.0,3.27,86.0,76.05
11182,Corn yellow whole kernel frozen microwaved,0.0,3.62,131.0,68.4
07020,Corned beef loaf jellied,47.0,22.9,153.0,69.1
20322,Cornmeal degermed enriched white,0.0,7.11,370.0,11.18
20022,Cornmeal degermed enriched yellow,0.0,7.11,370.0,11.18
20522,Cornmeal degermed unenriched white,0.0,7.11,370.0,11.18
20422,Cornmeal degermed unenriched yellow,0.0,7.11,370.0,11.18
20323,Cornmeal white self-rising bolted plain enriched,0.0,8.28,334.0,12.59
20324,Cornmeal white self-rising bolted with wheat flour added enriched,0.0,8.41,348.0,10.33
20325,Cornmeal white self-rising degermed enriched,0.0,8.41,355.0,10.17
20320,Cornmeal whole-grain white,0.0,8.12,362.0,10.26
20020,Cornmeal whole-grain yellow,0.0,8.12,362.0,10.26
20023,Cornmeal yellow self-rising bolted plain enriched,0.0,8.28,334.0,12.59
20024,Cornmeal yellow self-rising bolted with wheat flour added enriched,0.0,8.41,348.0,10.33
20025,Cornmeal yellow self-rising degermed enriched,0.0,8.41,355.0,10.17
11190,Cornsalad raw,0.0,2.0,21.0,92.8
20027,Cornstarch,0.0,0.26,381.0,8.32
20029,Couscous cooked,0.0,3.79,112.0,72.57
20028,Couscous dry,0.0,12.76,376.0,8.56
11777,Cowpeas (blackeyes) immature seeds cooked boiled drained with salt,0.0,3.17,94.0,75.48
11192,Cowpeas (blackeyes) immature seeds cooked boiled drained without salt,0.0,3.17,97.0,75.48
11778,Cowpeas (blackeyes) immature seeds frozen cooked boiled drained with salt,0.0,8.49,131.0,66.1
11196,Cowpeas (blackeyes) immature seeds frozen cooked boiled drained without salt,0.0,8.49,132.0,66.1
11195,Cowpeas (blackeyes) immature seeds frozen unprepared,0.0,8.98,139.0,64.15
11191,Cowpeas (blackeyes) immature seeds raw,0.0,2.95,90.0,77.2
16361,Cowpeas catjang mature seeds cooked boiled with salt,0.0,8.13,117.0,69.7
16061,Cowpeas catjang mature seeds cooked boiled without salt,0.0,8.13,117.0,69.7
16060,Cowpeas catjang mature seeds raw,0.0,23.85,343.0,11.05
16065,Cowpeas common (blackeyes crowder southern) mature seeds canned with pork,7.0,2.74,83.0,77.59
16064,Cowpeas common (blackeyes crowder southern) mature seeds canned plain,0.0,4.74,77.0,79.63
16363,Cowpeas common (blackeyes crowder southern) mature seeds cooked boiled with salt,0.0,7.73,116.0,70.04
16063,Cowpeas common (blackeyes crowder southern) mature seeds cooked boiled without salt,0.0,7.73,116.0,70.04
16062,Cowpeas common (blackeyes crowder southern) mature seeds raw,0.0,23.52,336.0,11.95
11780,Cowpeas leafy tips cooked boiled drained with salt,0.0,4.67,22.0,91.3
11202,Cowpeas leafy tips cooked boiled drained without salt,0.0,4.67,22.0,91.3
11201,Cowpeas leafy tips raw,0.0,4.1,29.0,89.78
11779,Cowpeas young pods with seeds cooked boiled drained with salt,0.0,2.6,34.0,89.5
11198,Cowpeas young pods with seeds cooked boiled drained without salt,0.0,2.6,34.0,89.5
11197,Cowpeas young pods with seeds raw,0.0,3.3,44.0,86.0
09077,Crabapples raw,0.0,0.4,76.0,78.94
36024,CRACKER BARREL chicken tenderloin platter fried,40.0,18.06,293.0,43.12
36604,CRACKER BARREL chicken tenderloin platter fried from kid's menu,42.0,18.67,294.0,42.61
36025,CRACKER BARREL coleslaw,11.0,0.89,175.0,72.18
36605,CRACKER BARREL country fried shrimp platter,89.0,12.62,287.0,46.08
36606,CRACKER BARREL farm raised catfish platter,67.0,22.94,266.0,52.32
36608,CRACKER BARREL grilled sirloin steak,87.0,31.52,203.0,59.4
36040,CRACKER BARREL macaroni n' cheese,18.0,6.49,194.0,64.53
36609,CRACKER BARREL macaroni n' cheese plate from kid's menu,16.0,6.46,192.0,64.8
36607,CRACKER BARREL steak fries,0.0,3.26,255.0,51.32
18236,Cracker meal,0.0,9.3,383.0,7.6
18434,Crackers cheese low sodium,13.0,10.1,503.0,3.1
18965,Crackers cheese reduced fat,0.0,10.0,418.0,7.3
18214,Crackers cheese regular,3.0,10.93,489.0,3.55
18927,Crackers cheese sandwich-type with cheese filling,6.0,8.92,490.0,4.81
18215,Crackers cheese sandwich-type with peanut butter filling,0.0,12.41,496.0,3.28
28303,Crackers cheese whole grain,16.0,9.62,412.0,14.26
18216,Crackers crispbread rye,0.0,7.9,366.0,6.1
28345,Crackers gluten-free multi-seeded and multigrain,0.0,11.25,453.0,3.59
18218,Crackers matzo egg,83.0,12.3,391.0,6.4
18400,Crackers matzo egg and onion,45.0,10.0,391.0,7.2
18217,Crackers matzo plain,0.0,10.0,395.0,4.3
18219,Crackers matzo whole-wheat,0.0,13.1,351.0,4.8
18220,Crackers melba toast plain,0.0,12.1,390.0,5.1
18424,Crackers melba toast plain without salt,0.0,12.1,390.0,5.1
18221,Crackers melba toast rye (includes pumpernickel),0.0,11.6,389.0,4.9
18222,Crackers melba toast wheat,0.0,12.9,374.0,5.5
18223,Crackers milk,11.0,7.6,446.0,4.7
28292,Crackers multigrain,0.0,7.1,482.0,2.5
18224,Crackers rusk toast,78.0,13.5,407.0,5.5
18225,Crackers rye sandwich-type with cheese filling,9.0,9.2,481.0,3.8
18226,Crackers rye wafers plain,0.0,9.6,334.0,5.0
18227,Crackers rye wafers seasoned,0.0,9.0,381.0,4.0
18228,Crackers saltines (includes oyster soda soup),0.0,9.46,418.0,5.05
18457,Crackers saltines fat-free low-sodium,0.0,10.5,393.0,3.4
18425,Crackers saltines low salt (includes oyster soda soup),0.0,9.5,421.0,4.03
18426,Crackers saltines unsalted tops (includes oyster soda soup),0.0,9.2,434.0,4.1
18966,Crackers saltines whole wheat (includes multi-grain),0.0,7.14,398.0,9.85
28314,Crackers sandwich-type peanut butter filled reduced fat,0.0,8.33,437.0,9.33
18229,Crackers standard snack-type regular,0.0,6.64,510.0,3.14
18427,Crackers standard snack-type regular low salt,0.0,7.4,502.0,3.5
18230,Crackers standard snack-type sandwich with cheese filling,2.0,9.3,477.0,3.9
18231,Crackers standard snack-type sandwich with peanut butter filling,0.0,11.47,494.0,2.93
28308,Crackers standard snack-type with whole wheat,0.0,7.29,463.0,2.73
28325,Crackers toast thins low sodium,0.0,6.45,442.0,8.12
28327,Crackers water biscuits,0.0,7.14,384.0,11.0
18428,Crackers wheat low salt,0.0,8.6,473.0,3.1
18950,Crackers wheat reduced fat,0.0,9.34,444.0,2.73
18232,Crackers wheat regular,0.0,7.3,455.0,2.75
18233,Crackers wheat sandwich with cheese filling,7.0,9.8,497.0,3.2
18234,Crackers wheat sandwich with peanut butter filling,0.0,13.5,495.0,3.4
28326,Crackers whole grain sandwich-type with peanut butter filling,0.0,14.12,465.0,7.32
18235,Crackers whole-wheat,0.0,10.58,427.0,2.94
18429,Crackers whole-wheat low salt,0.0,8.8,443.0,2.7
18949,Crackers whole-wheat reduced fat,0.0,11.34,416.0,2.59
09079,Cranberries dried sweetened,0.0,0.17,308.0,15.79
09078,Cranberries raw,0.0,0.46,46.0,87.32
09522,Cranberry juice blend 100% juice bottled with added vitamin C and calcium,0.0,0.27,45.0,88.6
14242,Cranberry juice cocktail bottled,--,0.0,54.0,86.17
14243,Cranberry juice cocktail bottled low calorie with calcium saccharin and corn sweetener,0.0,0.02,19.0,95.2
14430,Cranberry juice cocktail frozen concentrate,0.0,0.05,201.0,48.4
14431,Cranberry juice cocktail frozen concentrate prepared with water,0.0,0.01,47.0,88.08
43382,Cranberry juice unsweetened,0.0,0.39,46.0,87.13
09081,Cranberry sauce canned sweetened,0.0,0.9,159.0,58.45
09526,Cranberry sauce jellied canned OCEAN SPRAY,0.0,1.05,160.0,58.2
09525,Cranberry sauce whole canned OCEAN SPRAY,0.0,0.75,158.0,58.7
09082,Cranberry-orange relish canned,0.0,0.3,178.0,53.2
18237,Cream puff shell prepared from recipe,171.0,9.0,360.0,40.5
18969,Cream puff eclair custard or cream filled iced,66.0,4.41,334.0,38.64
01205,Cream substitute flavored liquid,0.0,0.69,251.0,50.06
01206,Cream substitute flavored powdered,0.0,0.68,482.0,1.52
42141,Cream substitute liquid light,0.0,0.8,71.0,86.2
01067,Cream substitute liquid with hydrogenated vegetable oil and soy protein,0.0,1.0,136.0,77.27
01068,Cream substitute liquid with lauric acid oil and sodium caseinate,0.0,1.0,136.0,77.27
01069,Cream substitute powdered,0.0,2.48,529.0,2.98
42136,Cream substitute powdered light,0.0,1.9,431.0,6.2
01049,Cream fluid half and half,35.0,3.13,123.0,81.24
01053,Cream fluid heavy whipping,113.0,2.84,340.0,57.81
01050,Cream fluid light (coffee cream or table cream),59.0,2.96,191.0,74.51
01052,Cream fluid light whipping,111.0,2.17,292.0,63.5
01199,Cream half and half fat free,5.0,2.6,59.0,86.0
01056,Cream sour cultured,59.0,2.44,198.0,73.07
01055,Cream sour reduced fat cultured,39.0,2.94,135.0,80.14
01054,Cream whipped cream topping pressurized,76.0,3.2,257.0,61.33
42116,Creamy dressing made with sour cream and/or buttermilk and oil reduced calorie,0.0,1.5,160.0,74.0
42158,Creamy dressing made with sour cream and/or buttermilk and oil reduced calorie cholesterol-free,0.0,1.0,140.0,73.0
42157,Creamy dressing made with sour cream and/or buttermilk and oil reduced calorie fat-free,0.0,1.4,107.0,74.7
11781,Cress garden cooked boiled drained with salt,0.0,1.9,23.0,92.5
11204,Cress garden cooked boiled drained without salt,0.0,1.9,23.0,92.5
11203,Cress garden raw,0.0,2.6,32.0,89.4
18240,Croissants apple,31.0,7.4,254.0,45.6
18239,Croissants butter,67.0,8.2,406.0,23.2
18241,Croissants cheese,57.0,9.2,414.0,21.0
18242,Croutons plain,0.0,11.9,407.0,5.5
18243,Croutons seasoned,7.0,10.8,465.0,3.6
15137,Crustaceans crab alaska king cooked moist heat,53.0,19.35,97.0,77.55
15138,Crustaceans crab alaska king imitation made from surimi,20.0,7.62,95.0,74.66
15136,Crustaceans crab alaska king raw,42.0,18.29,84.0,79.57
15141,Crustaceans crab blue canned,97.0,17.88,83.0,79.69
15140,Crustaceans crab blue cooked moist heat,97.0,17.88,83.0,79.69
15142,Crustaceans crab blue crab cakes home recipe,150.0,20.21,155.0,71.0
15139,Crustaceans crab blue raw,78.0,18.06,87.0,79.02
15226,Crustaceans crab dungeness cooked moist heat,76.0,22.32,110.0,73.31
15143,Crustaceans crab dungeness raw,59.0,17.41,86.0,79.18
15227,Crustaceans crab queen cooked moist heat,71.0,23.72,115.0,75.1
15144,Crustaceans crab queen raw,55.0,18.5,90.0,80.58
15243,Crustaceans crayfish mixed species farmed cooked moist heat,137.0,17.52,87.0,80.8
15242,Crustaceans crayfish mixed species farmed raw,107.0,14.85,72.0,84.05
15146,Crustaceans crayfish mixed species wild cooked moist heat,133.0,16.77,82.0,79.37
15145,Crustaceans crayfish mixed species wild raw,114.0,15.97,77.0,82.24
15148,Crustaceans lobster northern cooked moist heat,146.0,19.0,89.0,78.11
15147,Crustaceans lobster northern raw,127.0,16.52,77.0,80.95
15271,Crustaceans shrimp cooked (not previously frozen),189.0,23.98,99.0,74.33
15152,Crustaceans shrimp mixed species canned,252.0,20.42,100.0,75.85
15150,Crustaceans shrimp mixed species cooked breaded and fried,138.0,21.39,242.0,52.86
15151,Crustaceans shrimp mixed species cooked moist heat (may have been previously frozen),211.0,22.78,119.0,71.56
15153,Crustaceans shrimp mixed species imitation made from surimi,36.0,12.39,101.0,74.91
15149,Crustaceans shrimp mixed species raw (may have been previously frozen),126.0,13.61,71.0,83.01
15270,Crustaceans shrimp raw (not previously frozen),161.0,20.1,85.0,78.45
15228,Crustaceans spiny lobster mixed species cooked moist heat,90.0,26.41,143.0,66.76
15154,Crustaceans spiny lobster mixed species raw,70.0,20.6,112.0,74.07
11206,Cucumber peeled raw,0.0,0.59,12.0,96.73
11205,Cucumber with peel raw,0.0,0.65,15.0,95.23
09083,Currants european black raw,0.0,1.4,63.0,81.96
09084,Currants red and white raw,0.0,1.4,56.0,83.95
09085,Currants zante dried,0.0,4.08,283.0,19.21
11782,Dandelion greens cooked boiled drained with salt,0.0,2.0,33.0,89.8
11208,Dandelion greens cooked boiled drained without salt,0.0,2.0,33.0,89.8
11207,Dandelion greens raw,0.0,2.7,45.0,85.6
18245,Danish pastry cheese,23.0,8.0,374.0,31.4
18244,Danish pastry cinnamon enriched,21.0,7.0,403.0,24.3
18430,Danish pastry cinnamon unenriched,21.0,7.0,403.0,24.3
18246,Danish pastry fruit enriched (includes apple cinnamon raisin lemon raspberry strawberry),114.0,5.4,371.0,27.1
18431,Danish pastry fruit unenriched (includes apple cinnamon raisin strawberry),40.0,5.4,371.0,27.1
18433,Danish pastry lemon unenriched,40.0,5.4,371.0,27.1
18247,Danish pastry nut (includes almond raisin nut cinnamon nut),46.0,7.1,430.0,20.4
18435,Danish pastry raspberry unenriched,40.0,5.4,371.0,27.1
09087,Dates deglet noor,0.0,2.45,282.0,20.53
36614,DENNY'S chicken nuggets star shaped from kid's menu,57.0,16.27,377.0,39.25
36027,DENNY'S chicken strips,44.0,19.17,295.0,41.37
36028,DENNY'S coleslaw,23.0,0.97,183.0,71.77
36029,DENNY'S fish fillet battered or breaded fried,37.0,13.75,234.0,54.66
36610,DENNY'S french fries,0.0,3.41,282.0,46.05
36612,DENNY'S golden fried shrimp,83.0,13.88,319.0,41.05
36613,DENNY'S macaroni &amp cheese from kid's menu,7.0,5.19,150.0,67.38
36611,DENNY'S mozzarella cheese sticks,32.0,13.56,324.0,37.63
36032,DENNY'S spaghetti and meatballs,19.0,7.84,170.0,66.64
36615,DENNY'S top sirloin steak,82.0,28.9,182.0,61.82
01070,Dessert topping powdered,0.0,4.9,577.0,1.47
01071,Dessert topping powdered 1.5 ounce prepared with 1/2 cup milk,10.0,3.61,194.0,65.74
01072,Dessert topping pressurized,0.0,0.98,264.0,60.37
01073,Dessert topping semi solid frozen,0.0,1.25,318.0,50.21
19186,Desserts apple crisp prepared-from-recipe,0.0,1.75,161.0,62.91
19168,Desserts egg custard baked prepared-from-recipe,84.0,5.02,104.0,78.86
19094,Desserts flan caramel custard prepared-from-recipe,90.0,4.53,145.0,68.05
19182,Desserts mousse chocolate prepared-from-recipe,140.0,4.14,225.0,62.94
19220,Desserts rennin chocolate dry mix,0.0,2.4,363.0,1.0
19225,Desserts rennin tablets unsweetened,0.0,1.0,84.0,6.5
19222,Desserts rennin vanilla dry mix,--,0.0,383.0,0.4
21473,DIGIORNO Pizza cheese topping cheese stuffed crust frozen baked,28.0,13.48,279.0,41.78
21474,DIGIORNO Pizza cheese topping rising crust frozen baked,15.0,12.8,256.0,43.95
21475,DIGIORNO Pizza cheese topping thin crispy crust frozen baked,21.0,12.96,247.0,48.15
21476,DIGIORNO Pizza pepperoni topping cheese stuffed crust frozen baked,24.0,13.92,279.0,41.87
21477,DIGIORNO Pizza pepperoni topping rising crust frozen baked,18.0,12.46,265.0,43.32
21478,DIGIORNO Pizza pepperoni topping thin crispy crust frozen baked,28.0,13.22,283.0,42.38
21479,DIGIORNO Pizza supreme topping rising crust frozen baked,19.0,11.74,255.0,46.8
21480,DIGIORNO Pizza supreme topping thin crispy crust frozen baked,20.0,11.41,255.0,47.31
02045,Dill weed fresh,0.0,3.46,43.0,85.95
27065,Dip bean original flavor,0.0,5.44,119.0,72.95
27053,Dip OLD EL PASO Cheese 'n Salsa medium,5.0,2.7,129.0,76.09
27052,Dip salsa con queso cheese and salsa- medium,9.0,3.14,143.0,73.72
27054,Dip TOSTITOS salsa con queso medium,9.0,2.92,133.0,74.68
11616,Dock raw,0.0,2.0,22.0,93.0
21277,"DOMINO'S 14"" Cheese Pizza Classic Hand-Tossed Crust",17.0,10.8,257.0,44.87
21279,"DOMINO'S 14"" Cheese Pizza Crunchy Thin Crust",27.0,12.33,298.0,41.58
21278,"DOMINO'S 14"" Cheese Pizza Ultimate Deep Dish Crust",16.0,10.76,265.0,43.42
21282,"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza Classic Hand-Tossed Crust",20.0,10.33,244.0,50.77
21280,"DOMINO'S 14"" Pepperoni Pizza Classic Hand-Tossed Crust",25.0,11.25,273.0,43.4
21492,"DOMINO'S 14"" Pepperoni Pizza Crunchy Thin Crust",38.0,13.88,328.0,38.53
21281,"DOMINO'S 14"" Pepperoni Pizza Ultimate Deep Dish Crust",24.0,11.52,283.0,41.9
21494,"DOMINO'S 14"" Sausage Pizza Classic Hand-Tossed Crust",21.0,11.08,273.0,43.55
21493,"DOMINO'S 14"" Sausage Pizza Crunchy Thin Crust",35.0,12.77,319.0,40.38
21495,"DOMINO'S 14"" Sausage Pizza Ultimate Deep Dish Crust",23.0,11.03,277.0,43.12
18251,Doughnuts cake-type chocolate sugared or glazed,57.0,4.5,417.0,16.3
18248,Doughnuts cake-type plain (includes unsugared old-fashioned),10.0,5.31,434.0,20.82
18249,Doughnuts cake-type plain chocolate-coated or frosted,19.0,4.93,452.0,16.76
18250,Doughnuts cake-type plain sugared or glazed,32.0,5.2,426.0,19.6
18253,Doughnuts french crullers glazed,11.0,3.1,412.0,17.9
18255,Doughnuts yeast-leavened glazed enriched (includes honey buns),30.0,6.14,421.0,22.0
18436,Doughnuts yeast-leavened glazed unenriched (includes honey buns),6.0,6.4,403.0,25.4
18254,Doughnuts yeast-leavened with creme filling,24.0,6.4,361.0,38.2
18256,Doughnuts yeast-leavened with jelly filling,26.0,5.9,340.0,35.6
43287,Dove cooked (includes squab),116.0,23.9,213.0,62.0
04706,Dressing honey mustard fat-free,1.0,1.07,169.0,56.17
11786,Drumstick leaves cooked boiled drained with salt,0.0,5.27,60.0,81.65
11223,Drumstick leaves cooked boiled drained without salt,0.0,5.27,60.0,81.65
11222,Drumstick leaves raw,0.0,9.4,64.0,78.66
11787,Drumstick pods cooked boiled drained with salt,0.0,2.09,36.0,88.42
11621,Drumstick pods cooked boiled drained without salt,0.0,2.09,36.0,88.42
11620,Drumstick pods raw,0.0,2.1,37.0,88.2
05143,Duck domesticated liver raw,515.0,18.74,136.0,71.78
05140,Duck domesticated meat and skin cooked roasted,84.0,18.99,337.0,51.84
05139,Duck domesticated meat and skin raw,76.0,11.49,404.0,48.5
05142,Duck domesticated meat only cooked roasted,89.0,23.48,201.0,64.22
05141,Duck domesticated meat only raw,77.0,18.28,135.0,73.77
05145,Duck wild breast meat only raw,77.0,19.85,123.0,75.51
05144,Duck wild meat and skin raw,80.0,17.42,211.0,66.52
05315,Duck young duckling domesticated White Pekin breast meat and skin boneless cooked roasted,136.0,24.5,202.0,63.25
05316,Duck young duckling domesticated White Pekin breast meat only boneless cooked without skin broiled,143.0,27.6,140.0,68.25
05317,Duck young duckling domesticated White Pekin leg meat and skin bone in cooked roasted,114.0,26.75,217.0,60.9
05318,Duck young duckling domesticated White Pekin leg meat only bone in cooked without skin braised,105.0,29.1,178.0,64.6
01225,Dulce de Leche,29.0,6.84,315.0,28.71
32025,Dumpling potato- or cheese-filled frozen,4.0,5.26,195.0,57.25
09422,Durian raw or frozen,0.0,1.47,147.0,64.99
07021,Dutch brand loaf chicken pork and beef,60.0,12.0,273.0,58.1
11212,Edamame frozen prepared,0.0,11.91,121.0,72.77
19169,Egg custards dry mix,258.0,6.9,410.0,1.7
19205,Egg custards dry mix prepared with 2% milk,49.0,4.13,112.0,74.44
19170,Egg custards dry mix prepared with whole milk,51.0,3.99,122.0,73.45
01210,Egg Mix USDA Commodity,975.0,35.6,555.0,2.78
22954,Egg rolls chicken refrigerated heated,14.0,10.44,197.0,54.18
22953,Egg rolls pork refrigerated heated,14.0,9.94,222.0,51.33
22955,Egg rolls vegetable frozen prepared,0.0,5.95,214.0,53.37
01226,Egg substitute liquid or frozen fat free,0.0,10.0,48.0,87.0
01144,Egg substitute powder,572.0,55.5,444.0,3.86
01138,Egg duck whole fresh raw,884.0,12.81,185.0,70.83
01139,Egg goose whole fresh raw,852.0,13.87,185.0,70.43
01140,Egg quail whole fresh raw,844.0,13.05,158.0,74.35
01141,Egg turkey whole fresh raw,933.0,13.68,171.0,72.5
01173,Egg white dried,0.0,81.1,382.0,5.8
01135,Egg white dried flakes stabilized glucose reduced,0.0,76.92,351.0,14.62
01136,Egg white dried powder stabilized glucose reduced,0.0,82.4,376.0,8.54
01258,Egg white dried stabilized glucose reduced,0.0,84.08,357.0,5.48
01124,Egg white raw fresh,0.0,10.9,52.0,87.57
01172,Egg white raw frozen pasteurized,0.0,10.2,48.0,88.17
01128,Egg whole cooked fried,401.0,13.61,196.0,69.47
01129,Egg whole cooked hard-boiled,373.0,12.58,155.0,74.62
01130,Egg whole cooked omelet,313.0,10.57,154.0,76.13
01131,Egg whole cooked poached,370.0,12.51,143.0,75.85
01132,Egg whole cooked scrambled,277.0,9.99,149.0,76.4
01133,Egg whole dried,1630.0,48.05,592.0,2.78
01134,Egg whole dried stabilized glucose reduced,2017.0,48.17,615.0,1.87
01123,Egg whole raw fresh,372.0,12.56,143.0,76.15
01171,Egg whole raw frozen pasteurized,372.0,12.33,147.0,75.81
01255,Egg whole raw frozen salted pasteurized,387.0,10.97,138.0,67.83
01137,Egg yolk dried,2307.0,33.63,669.0,3.08
01125,Egg yolk raw fresh,1085.0,15.86,322.0,52.31
01126,Egg yolk raw frozen pasteurized,991.0,15.53,296.0,56.44
01160,Egg yolk raw frozen salted pasteurized,912.0,14.07,275.0,50.87
01127,Egg yolk raw frozen sugared pasteurized,917.0,13.87,307.0,51.23
01057,Eggnog,59.0,4.55,88.0,82.54
11783,Eggplant cooked boiled drained with salt,0.0,0.83,33.0,89.67
11210,Eggplant cooked boiled drained without salt,0.0,0.83,35.0,89.67
43146,Eggplant pickled,0.0,0.9,49.0,86.9
11209,Eggplant raw,0.0,0.98,25.0,92.3
43285,Eggs scrambled frozen mixture,277.0,13.1,131.0,72.7
09088,Elderberries raw,0.0,0.66,73.0,79.8
05624,Emu fan fillet cooked broiled,82.0,31.27,154.0,66.43
05623,Emu fan fillet raw,71.0,22.5,103.0,74.62
05625,Emu flat fillet raw,71.0,22.25,102.0,75.4
05627,Emu full rump cooked broiled,129.0,33.67,168.0,61.97
05626,Emu full rump raw,85.0,22.83,112.0,73.79
05622,Emu ground cooked pan-broiled,87.0,28.43,163.0,65.83
05621,Emu ground raw,69.0,22.77,134.0,72.87
05628,Emu inside drum raw,67.0,22.22,108.0,74.73
05629,Emu inside drums cooked broiled,91.0,32.38,156.0,64.31
05630,Emu outside drum raw,78.0,23.08,103.0,74.87
05631,Emu oyster raw,81.0,22.81,141.0,72.57
05632,Emu top loin cooked broiled,88.0,29.07,152.0,67.37
11213,Endive raw,0.0,1.25,17.0,93.79
18260,English muffins mixed-grain (includes granola),0.0,9.1,235.0,40.2
18261,English muffins mixed-grain toasted (includes granola),0.0,9.9,255.0,35.0
18258,English muffins plain enriched with ca prop (includes sourdough),0.0,8.87,227.0,43.56
18437,English muffins plain enriched without calcium propionate(includes sourdough),0.0,7.7,235.0,42.1
18259,English muffins plain toasted enriched with calcium propionate (includes sourdough),0.0,10.32,270.0,32.97
18438,English muffins plain unenriched with calcium propionate (includes sourdough),0.0,7.7,235.0,42.1
18439,English muffins plain unenriched without calcium propionate (includes sourdough),0.0,7.7,235.0,42.1
